"ID","STD ABBR","STD NAME","DST ABBR","DST NAME","GMT offset","DST adjustment","DST Start Date rule","Start time","DST End date rule","End time"
"Africa/Abidjan","GMT","Greenwich Mean Time","","","+00:00:00","+00:00:00","","","","+00:00:00"
"Africa/Accra","GMT","Greenwich Mean Time","","","+00:00:00","+00:00:00","","","","+00:00:00"
"Africa/Addis_Ababa","EAT","East Africa Time","","","+03:00:00","+00:00:00","","","","+00:00:00"
"Africa/Algiers","CET","Central European Time","","","+01:00:00","+00:00:00","","","","+00:00:00"
"Africa/Asmara","EAT","East Africa Time","","","+03:00:00","+00:00:00","","","","+00:00:00"
"Africa/Asmera","EAT","East Africa Time","","","+03:00:00","+00:00:00","","","","+00:00:00"
"Africa/Bamako","GMT","Greenwich Mean Time","","","+00:00:00","+00:00:00","","","","+00:00:00"
"Africa/Bangui","WAT","West Africa Time","","","+01:00:00","+00:00:00","","","","+00:00:00"
"Africa/Banjul","GMT","Greenwich Mean Time","","","+00:00:00","+00:00:00","","","","+00:00:00"
"Africa/Bissau","GMT","Greenwich Mean Time","","","+00:00:00","+00:00:00","","","","+00:00:00"
"Africa/Blantyre","CAT","Central Africa Time","","","+02:00:00","+00:00:00","","","","+00:00:00"
"Africa/Brazzaville","WAT","West Africa Time","","","+01:00:00","+00:00:00","","","","+00:00:00"
"Africa/Bujumbura","CAT","Central Africa Time","","","+02:00:00","+00:00:00","","","","+00:00:00"
"Africa/Cairo","EET","Eastern European Time","EEST","Eastern European Summer Time","+02:00:00","+01:00:00","-1;5;4","+00:00:00","-1;5;9","+00:00:00"
"Africa/Casablanca","WET","Western European Time","","","+00:00:00","+00:00:00","","","","+00:00:00"
"Africa/Ceuta","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Africa/Conakry","GMT","Greenwich Mean Time","","","+00:00:00","+00:00:00","","","","+00:00:00"
"Africa/Dakar","GMT","Greenwich Mean Time","","","+00:00:00","+00:00:00","","","","+00:00:00"
"Africa/Dar_es_Salaam","EAT","East Africa Time","","","+03:00:00","+00:00:00","","","","+00:00:00"
"Africa/Djibouti","EAT","East Africa Time","","","+03:00:00","+00:00:00","","","","+00:00:00"
"Africa/Douala","WAT","West Africa Time","","","+01:00:00","+00:00:00","","","","+00:00:00"
"Africa/El_Aaiun","WET","Western European Time","","","+00:00:00","+00:00:00","","","","+00:00:00"
"Africa/Freetown","GMT","Greenwich Mean Time","","","+00:00:00","+00:00:00","","","","+00:00:00"
"Africa/Gaborone","CAT","Central Africa Time","","","+02:00:00","+00:00:00","","","","+00:00:00"
"Africa/Harare","CAT","Central Africa Time","","","+02:00:00","+00:00:00","","","","+00:00:00"
"Africa/Johannesburg","SAST","South African Standard Time","","","+02:00:00","+00:00:00","","","","+00:00:00"
"Africa/Juba","EAT","East Africa Time","","",+03:00:00,+00:00:00,"","","","+00:00:00"
"Africa/Kampala","EAT","East Africa Time","","","+03:00:00","+00:00:00","","","","+00:00:00"
"Africa/Khartoum","EAT","East Africa Time","","","+03:00:00","+00:00:00","","","","+00:00:00"
"Africa/Kigali","CAT","Central Africa Time","","","+02:00:00","+00:00:00","","","","+00:00:00"
"Africa/Kinshasa","WAT","West Africa Time","","","+01:00:00","+00:00:00","","","","+00:00:00"
"Africa/Lagos","WAT","West Africa Time","","","+01:00:00","+00:00:00","","","","+00:00:00"
"Africa/Libreville","WAT","West Africa Time","","","+01:00:00","+00:00:00","","","","+00:00:00"
"Africa/Lome","GMT","Greenwich Mean Time","","","+00:00:00","+00:00:00","","","","+00:00:00"
"Africa/Luanda","WAT","West Africa Time","","","+01:00:00","+00:00:00","","","","+00:00:00"
"Africa/Lubumbashi","CAT","Central Africa Time","","","+02:00:00","+00:00:00","","","","+00:00:00"
"Africa/Lusaka","CAT","Central Africa Time","","","+02:00:00","+00:00:00","","","","+00:00:00"
"Africa/Malabo","WAT","West Africa Time","","","+01:00:00","+00:00:00","","","","+00:00:00"
"Africa/Maputo","CAT","Central Africa Time","","","+02:00:00","+00:00:00","","","","+00:00:00"
"Africa/Maseru","SAST","South African Standard Time","","","+02:00:00","+00:00:00","","","","+00:00:00"
"Africa/Mbabane","SAST","South African Standard Time","","","+02:00:00","+00:00:00","","","","+00:00:00"
"Africa/Mogadishu","EAT","East Africa Time","","","+03:00:00","+00:00:00","","","","+00:00:00"
"Africa/Monrovia","GMT","Greenwich Mean Time","","","+00:00:00","+00:00:00","","","","+00:00:00"
"Africa/Nairobi","EAT","East Africa Time","","","+03:00:00","+00:00:00","","","","+00:00:00"
"Africa/Ndjamena","WAT","West Africa Time","","","+01:00:00","+00:00:00","","","","+00:00:00"
"Africa/Niamey","WAT","West Africa Time","","","+01:00:00","+00:00:00","","","","+00:00:00"
"Africa/Nouakchott","GMT","Greenwich Mean Time","","","+00:00:00","+00:00:00","","","","+00:00:00"
"Africa/Ouagadougou","GMT","Greenwich Mean Time","","","+00:00:00","+00:00:00","","","","+00:00:00"
"Africa/Porto-Novo","WAT","West Africa Time","","","+01:00:00","+00:00:00","","","","+00:00:00"
"Africa/Sao_Tome","GMT","Greenwich Mean Time","","","+00:00:00","+00:00:00","","","","+00:00:00"
"Africa/Timbuktu","GMT","Greenwich Mean Time","","","+00:00:00","+00:00:00","","","","+00:00:00"
"Africa/Tripoli","EET","Eastern European Time","","","+02:00:00","+00:00:00","","","","+00:00:00"
"Africa/Tunis","CET","Central European Time","","","+01:00:00","+00:00:00","","","","+00:00:00"
"Africa/Windhoek","WAT","West Africa Time","WAST","West Africa Summer Time","+01:00:00","+01:00:00","1;0;9","+02:00:00","1;0;4","+02:00:00"
"America/Adak","HAST","Hawaii-Aleutian Standard Time","HADT","Hawaii-Aleutian Daylight Time","-10:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Anchorage","AKST","Alaska Standard Time","AKDT","Alaska Daylight Time","-09:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Anguilla","AST","Atlantic Standard Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/Antigua","AST","Atlantic Standard Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/Araguaina","BRT","Brasilia Time","BRST","Brasilia Summer Time","-03:00:00","+01:00:00","2;0;10","+00:00:00","3;0;2","+00:00:00"
"America/Argentina/Buenos_Aires","ART","Argentina Time","","","-03:00:00","+00:00:00","","","","+00:00:00"
"America/Argentina/Catamarca","ART","Argentina Time","","","-03:00:00","+00:00:00","","","","+00:00:00"
"America/Argentina/Cordoba","ART","Argentina Time","","","-03:00:00","+00:00:00","","","","+00:00:00"
"America/Argentina/Jujuy","ART","Argentina Time","","","-03:00:00","+00:00:00","","","","+00:00:00"
"America/Argentina/La_Rioja","ART","Argentina Time","","","-03:00:00","+00:00:00","","","","+00:00:00"
"America/Argentina/Mendoza","ART","Argentina Time","","","-03:00:00","+00:00:00","","","","+00:00:00"
"America/Argentina/Rio_Gallegos","ART","Argentina Time","","","-03:00:00","+00:00:00","","","","+00:00:00"
"America/Argentina/Salta","ART","Argentina Time","","","-03:00:00","+00:00:00","","","","+00:00:00"
"America/Argentina/San_Juan","ART","Argentina Time","","","-03:00:00","+00:00:00","","","","+00:00:00"
"America/Argentina/San_Luis","ART","Argentina Time","","","-03:00:00","+00:00:00","","","","+00:00:00"
"America/Argentina/Tucuman","ART","Argentina Time","","","-03:00:00","+00:00:00","","","","+00:00:00"
"America/Argentina/Ushuaia","ART","Argentina Time","","","-03:00:00","+00:00:00","","","","+00:00:00"
"America/Aruba","AST","Atlantic Standard Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/Asuncion","PYT","Paraguay Time","PYST","Paraguay Summer Time","-04:00:00","+01:00:00","1;0;10","+00:00:00","1;0;3","+00:00:00"
"America/Atikokan","EST","Eastern Standard Time","","","-05:00:00","+00:00:00","","","","+00:00:00"
"America/Bahia","BRT","Brasilia Time","","","-03:00:00","+00:00:00","","","","+00:00:00"
"America/Bahia_Banderas","CST","Central Standard Time","CDT","Central Daylight Time","-06:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Barbados","AST","Atlantic Standard Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/Belem","BRT","Brasilia Time","","","-03:00:00","+00:00:00","","","","+00:00:00"
"America/Belize","CST","Central Standard Time","","","-06:00:00","+00:00:00","","","","+00:00:00"
"America/Blanc-Sablon","AST","Atlantic Standard Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/Boa_Vista","AMT","Amazon Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/Bogota","COT","Colombia Time","","","-05:00:00","+00:00:00","","","","+00:00:00"
"America/Boise","MST","Mountain Standard Time","MDT","Mountain Daylight Time","-07:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Buenos_Aires","ART","Argentina Time","","","-03:00:00","+00:00:00","","","","+00:00:00"
"America/Cambridge_Bay","MST","Mountain Standard Time","MDT","Mountain Daylight Time","-07:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Campo_Grande","AMT","Amazon Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/Cancun","CST","Central Standard Time","CDT","Central Daylight Time","-06:00:00","+01:00:00","1;0;4","+02:00:00","-1;0;10","+02:00:00"
"America/Caracas","VET","Venezuelan Standard Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/Catamarca","ART","Argentina Time","","","-03:00:00","+00:00:00","","","","+00:00:00"
"America/Cayenne","GFT","French Guiana Time","","","-03:00:00","+00:00:00","","","","+00:00:00"
"America/Cayman","EST","Eastern Standard Time","","","-05:00:00","+00:00:00","","","","+00:00:00"
"America/Chicago","CST","Central Standard Time","CDT","Central Daylight Time","-06:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Chihuahua","MST","Mountain Standard Time","MDT","Mountain Daylight Time","-07:00:00","+01:00:00","1;0;4","+02:00:00","-1;0;10","+02:00:00"
"America/Ciudad_Juarez","MST","Mountain Standard Time","MDT","Mountain Daylight Time","-07:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Cordoba","ART","Argentina Time","","","-03:00:00","+00:00:00","","","","+00:00:00"
"America/Costa_Rica","CST","Central Standard Time","","","-06:00:00","+00:00:00","","","","+00:00:00"
"America/Creston","MST","Mountain Standard Time","","","-07:00:00","+00:00:00","","","","+00:00:00"
"America/Cuiaba","AMT","Amazon Time","AMST","AMST","-04:00:00","+01:00:00","2;0;10","+00:00:00","3;0;2","+00:00:00"
"America/Curacao","AST","Atlantic Standard Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/Danmarkshavn","GMT","Greenwich Mean Time","","","+00:00:00","+00:00:00","","","","+00:00:00"
"America/Dawson","PST","Pacific Standard Time","PDT","Pacific Daylight Time","-08:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Dawson_Creek","MST","Mountain Standard Time","","","-07:00:00","+00:00:00","","","","+00:00:00"
"America/Denver","MST","Mountain Standard Time","MDT","Mountain Daylight Time","-07:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Detroit","EST","Eastern Standard Time","EDT","Eastern Daylight Time","-05:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Dominica","AST","Atlantic Standard Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/Edmonton","MST","Mountain Standard Time","MDT","Mountain Daylight Time","-07:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Eirunepe","ACT","Acre Time","","","-05:00:00","+00:00:00","","","","+00:00:00"
"America/El_Salvador","CST","Central Standard Time","","","-06:00:00","+00:00:00","","","","+00:00:00"
"America/Fort_Nelson","MST","Mountain Standard Time","","","-07:00:00","+00:00:00","","","","+00:00:00"
"America/Fortaleza","BRT","Brasilia Time","BRST","Brasilia Summer Time","-03:00:00","+01:00:00","2;0;10","+00:00:00","3;0;2","+00:00:00"
"America/Glace_Bay","AST","Atlantic Standard Time","ADT","Atlantic Daylight Time","-04:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Godthab","WGT","West Greenland Time","WGST","West Greenland Summer Time","-03:00:00","+01:00:00","-1;6;3","+22:00:00","-1;6;10","+23:00:00"
"America/Goose_Bay","AST","Atlantic Standard Time","ADT","Atlantic Daylight Time","-04:00:00","+01:00:00","1;0;4","+00:01:00","-1;0;10","+00:01:00"
"America/Grand_Turk","EST","Eastern Standard Time","EDT","Eastern Daylight Time","-05:00:00","+01:00:00","1;0;4","+00:00:00","-1;0;10","+00:00:00"
"America/Grenada","AST","Atlantic Standard Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/Guadeloupe","AST","Atlantic Standard Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/Guatemala","CST","Central Standard Time","","","-06:00:00","+00:00:00","","","","+00:00:00"
"America/Guayaquil","ECT","Ecuador Time","","","-05:00:00","+00:00:00","","","","+00:00:00"
"America/Guyana","GYT","Guyana Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/Halifax","AST","Atlantic Standard Time","ADT","Atlantic Daylight Time","-04:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Havana","CST","Central Standard Time","CDT","Central Daylight Time","-05:00:00","+01:00:00","1;0;4","+00:00:00","-1;0;10","+01:00:00"
"America/Hermosillo","MST","Mountain Standard Time","","","-07:00:00","+00:00:00","","","","+00:00:00"
"America/Indiana/Indianapolis","EST","Eastern Standard Time","","","-05:00:00","+00:00:00","2;0;3","","1;0;11","+00:00:00"
"America/Indiana/Knox","EST","Eastern Standard Time","","","-05:00:00","+00:00:00","2;0;3","","1;0;11","+00:00:00"
"America/Indiana/Marengo","EST","Eastern Standard Time","","","-05:00:00","+00:00:00","2;0;3","","1;0;11","+00:00:00"
"America/Indiana/Petersburg","EST","Eastern Standard Time","EDT","Eastern Daylight Time","-05:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Indiana/Tell_City","CST","Central Standard Time","CDT","Central Daylight Time","-06:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Indiana/Vevay","EST","Eastern Standard Time","","","-05:00:00","+00:00:00","2;0;3","","1;0;11","+00:00:00"
"America/Indiana/Vincennes","EST","Eastern Standard Time","EDT","Eastern Daylight Time","-05:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Indiana/Winamac","EST","Eastern Standard Time","EDT","Eastern Daylight Time","-05:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Indianapolis","EST","Eastern Standard Time","","","-05:00:00","+00:00:00","2;0;3","","1;0;11","+00:00:00"
"America/Inuvik","MST","Mountain Standard Time","MDT","Mountain Daylight Time","-07:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Iqaluit","EST","Eastern Standard Time","EDT","Eastern Daylight Time","-05:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Jamaica","EST","Eastern Standard Time","","","-05:00:00","+00:00:00","","","","+00:00:00"
"America/Jujuy","ART","Argentina Time","","","-03:00:00","+00:00:00","","","","+00:00:00"
"America/Juneau","AKST","Alaska Standard Time","AKDT","Alaska Daylight Time","-09:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Kentucky/Louisville","EST","Eastern Standard Time","EDT","Eastern Daylight Time","-05:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Kentucky/Monticello","EST","Eastern Standard Time","EDT","Eastern Daylight Time","-05:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Kralendijk","AST","Atlantic Standard Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/La_Paz","BOT","Bolivia Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/Lima","PET","Peru Time","","","-05:00:00","+00:00:00","","","","+00:00:00"
"America/Los_Angeles","PST","Pacific Standard Time","PDT","Pacific Daylight Time","-08:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Louisville","EST","Eastern Standard Time","EDT","Eastern Daylight Time","-05:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Lower_Princes","AST","Atlantic Standard Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/Maceio","BRT","Brasilia Time","BRST","Brasilia Summer Time","-03:00:00","+01:00:00","2;0;10","+00:00:00","3;0;2","+00:00:00"
"America/Managua","CST","Central Standard Time","","","-06:00:00","+00:00:00","","","","+00:00:00"
"America/Manaus","AMT","Amazon Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/Marigot","AST","Atlantic Standard Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/Martinique","AST","Atlantic Standard Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/Matamoros","CST","Central Standard Time","CDT","Central Daylight Time","-06:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Mazatlan","MST","Mountain Standard Time","MDT","Mountain Daylight Time","-07:00:00","+01:00:00","1;0;4","+02:00:00","-1;0;10","+02:00:00"
"America/Mendoza","ART","Argentina Time","","","-03:00:00","+00:00:00","","","","+00:00:00"
"America/Menominee","CST","Central Standard Time","CDT","Central Daylight Time","-06:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Merida","CST","Central Standard Time","CDT","Central Daylight Time","-06:00:00","+01:00:00","1;0;4","+02:00:00","-1;0;10","+02:00:00"
"America/Metlakatla","AKST","Alaska Standard Time","AKDT","Alaska Daylight Time","-09:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Mexico_City","CST","Central Standard Time","CDT","Central Daylight Time","-06:00:00","+01:00:00","1;0;4","+02:00:00","-1;0;10","+02:00:00"
"America/Miquelon","PMST","Pierre & Miquelon Standard Time","PMDT","Pierre & Miquelon Daylight Time","-03:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Moncton","AST","Atlantic Standard Time","ADT","Atlantic Daylight Time","-04:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Monterrey","CST","Central Standard Time","CDT","Central Daylight Time","-06:00:00","+01:00:00","1;0;4","+02:00:00","-1;0;10","+02:00:00"
"America/Montevideo","UYT","Uruguay Standard Time","","","-03:00:00","+00:00:00","","","","+00:00:00"
"America/Montreal","EST","Eastern Standard Time","EDT","Eastern Daylight Time","-05:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Montserrat","AST","Atlantic Standard Time","","","-04:00:00","+00:00:00","","","","+00:00:00"
"America/Nassau","EST","Eastern Standard Time","EDT","Eastern Daylight Time","-05:00:00","+01:00:00","1;0;4","+02:00:00","-1;0;10","+02:00:00"
"America/New_York","EST","Eastern Standard Time","EDT","Eastern Daylight Time","-05:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"America/Nipigon","EST","Eastern Standard Time","EDT","Eastern Daylight Time","-05:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
